"resource","consumer"
"Species 287","Species 112"
"Species 288","Species 112"
"Species 289","Species 112"
"Species 290","Species 112"
"Species 293","Species 112"
"Species 310","Species 112"
"Species 313","Species 112"
"Species 1","Species 113"
"Species 2","Species 113"
"Species 3","Species 113"
"Species 6","Species 113"
"Species 10","Species 113"
"Species 22","Species 113"
"Species 23","Species 113"
"Species 26","Species 113"
"Species 27","Species 113"
"Species 28","Species 113"
"Species 29","Species 113"
"Species 30","Species 113"
"Species 31","Species 113"
"Species 32","Species 113"
"Species 33","Species 113"
"Species 35","Species 113"
"Species 45","Species 113"
"Species 46","Species 113"
"Species 48","Species 113"
"Species 53","Species 113"
"Species 55","Species 113"
"Species 58","Species 113"
"Species 59","Species 113"
"Species 60","Species 113"
"Species 61","Species 113"
"Species 62","Species 113"
"Species 63","Species 113"
"Species 64","Species 113"
"Species 68","Species 113"
"Species 69","Species 113"
"Species 71","Species 113"
"Species 73","Species 113"
"Species 74","Species 113"
"Species 75","Species 113"
"Species 78","Species 113"
"Species 80","Species 113"
"Species 84","Species 113"
"Species 85","Species 113"
"Species 94","Species 113"
"Species 215","Species 113"
"Species 230","Species 113"
"Species 281","Species 113"
"Species 247","Species 113"
"Species 238","Species 113"
"Species 245","Species 113"
"Species 266","Species 113"
"Species 233","Species 113"
"Species 246","Species 113"
"Species 250","Species 113"
"Species 260","Species 113"
"Species 261","Species 113"
"Species 264","Species 113"
"Species 267","Species 113"
"Species 274","Species 113"
"Species 284","Species 113"
"Species 285","Species 113"
"Species 286","Species 113"
"Species 298","Species 113"
"Species 299","Species 113"
"Species 307","Species 113"
"Species 1","Species 114"
"Species 2","Species 114"
"Species 3","Species 114"
"Species 6","Species 114"
"Species 10","Species 114"
"Species 14","Species 114"
"Species 16","Species 114"
"Species 22","Species 114"
"Species 23","Species 114"
"Species 26","Species 114"
"Species 27","Species 114"
"Species 28","Species 114"
"Species 29","Species 114"
"Species 30","Species 114"
"Species 31","Species 114"
"Species 32","Species 114"
"Species 33","Species 114"
"Species 35","Species 114"
"Species 45","Species 114"
"Species 46","Species 114"
"Species 48","Species 114"
"Species 50","Species 114"
"Species 53","Species 114"
"Species 55","Species 114"
"Species 58","Species 114"
"Species 59","Species 114"
"Species 60","Species 114"
"Species 61","Species 114"
"Species 62","Species 114"
"Species 63","Species 114"
"Species 64","Species 114"
"Species 68","Species 114"
"Species 69","Species 114"
"Species 71","Species 114"
"Species 73","Species 114"
"Species 74","Species 114"
"Species 75","Species 114"
"Species 78","Species 114"
"Species 79","Species 114"
"Species 80","Species 114"
"Species 81","Species 114"
"Species 82","Species 114"
"Species 83","Species 114"
"Species 84","Species 114"
"Species 85","Species 114"
"Species 95","Species 114"
"Species 94","Species 114"
"Species 113","Species 114"
"Species 115","Species 114"
"Species 214","Species 114"
"Species 215","Species 114"
"Species 221","Species 114"
"Species 222","Species 114"
"Species 223","Species 114"
"Species 224","Species 114"
"Species 226","Species 114"
"Species 230","Species 114"
"Species 233","Species 114"
"Species 235","Species 114"
"Species 236","Species 114"
"Species 237","Species 114"
"Species 238","Species 114"
"Species 239","Species 114"
"Species 281","Species 114"
"Species 245","Species 114"
"Species 246","Species 114"
"Species 247","Species 114"
"Species 250","Species 114"
"Species 261","Species 114"
"Species 265","Species 114"
"Species 266","Species 114"
"Species 268","Species 114"
"Species 269","Species 114"
"Species 271","Species 114"
"Species 272","Species 114"
"Species 273","Species 114"
"Species 275","Species 114"
"Species 276","Species 114"
"Species 277","Species 114"
"Species 282","Species 114"
"Species 234","Species 114"
"Species 243","Species 114"
"Species 252","Species 114"
"Species 253","Species 114"
"Species 259","Species 114"
"Species 260","Species 114"
"Species 264","Species 114"
"Species 267","Species 114"
"Species 274","Species 114"
"Species 284","Species 114"
"Species 285","Species 114"
"Species 286","Species 114"
"Species 289","Species 114"
"Species 297","Species 114"
"Species 298","Species 114"
"Species 299","Species 114"
"Species 304","Species 114"
"Species 307","Species 114"
"Species 314","Species 114"
"Species 2","Species 115"
"Species 3","Species 115"
"Species 6","Species 115"
"Species 10","Species 115"
"Species 21","Species 117"
"Species 22","Species 117"
"Species 23","Species 117"
"Species 26","Species 117"
"Species 27","Species 117"
"Species 28","Species 117"
"Species 29","Species 117"
"Species 30","Species 117"
"Species 31","Species 117"
"Species 32","Species 117"
"Species 33","Species 117"
"Species 45","Species 117"
"Species 46","Species 117"
"Species 59","Species 117"
"Species 60","Species 117"
"Species 61","Species 117"
"Species 62","Species 117"
"Species 63","Species 117"
"Species 64","Species 117"
"Species 68","Species 117"
"Species 69","Species 117"
"Species 71","Species 117"
"Species 73","Species 117"
"Species 74","Species 117"
"Species 92","Species 117"
"Species 104","Species 117"
"Species 233","Species 117"
"Species 234","Species 117"
"Species 235","Species 117"
"Species 236","Species 117"
