"resource","consumer"
"Species 61","Species 56"
"Species 61","Species 57"
"Species 61","Species 58"
"Species 61","Species 60"
"Species 61","Species 62"
"Species 61","Species 6"
"Species 61","Species 7"
"Species 61","Species 11"
"Species 61","Species 16"
"Species 61","Species 17"
"Species 61","Species 18"
"Species 61","Species 19"
"Species 61","Species 29"
"Species 61","Species 30"
"Species 61","Species 33"
"Species 61","Species 34"
"Species 61","Species 24"
"Species 61","Species 38"
"Species 61","Species 40"
"Species 61","Species 45"
"Species 61","Species 46"
"Species 61","Species 47"
"Species 61","Species 48"
"Species 62","Species 27"
"Species 62","Species 28"
"Species 62","Species 36"
"Species 62","Species 37"
"Species 62","Species 38"
"Species 62","Species 39"
"Species 62","Species 40"
"Species 62","Species 44"
"Species 62","Species 45"
"Species 62","Species 46"
"Species 62","Species 47"
"Species 62","Species 48"
"Species 62","Species 22"
"Species 62","Species 23"
"Species 62","Species 32"
"Species 62","Species 35"
"Species 62","Species 56"
"Species 62","Species 57"
"Species 62","Species 58"
"Species 62","Species 6"
"Species 62","Species 7"
"Species 62","Species 11"
"Species 62","Species 16"
"Species 62","Species 17"
"Species 62","Species 18"
"Species 62","Species 19"
"Species 62","Species 29"
"Species 62","Species 30"
"Species 62","Species 33"
"Species 62","Species 34"
"Species 62","Species 24"
"Species 63","Species 45"
"Species 63","Species 46"
"Species 63","Species 48"
"Species 63","Species 12"
"Species 63","Species 16"
"Species 63","Species 22"
"Species 63","Species 23"
"Species 63","Species 24"
"Species 63","Species 26"
"Species 63","Species 27"
"Species 63","Species 28"
"Species 63","Species 32"
"Species 63","Species 33"
"Species 63","Species 34"
"Species 63","Species 35"
"Species 63","Species 36"
"Species 63","Species 37"
"Species 63","Species 39"
"Species 63","Species 44"
