"resource","consumer"
"Species 391","Species 167"
"Species 392","Species 167"
"Species 393","Species 167"
"Species 394","Species 167"
"Species 395","Species 167"
"Species 396","Species 167"
"Species 399","Species 167"
"Species 400","Species 167"
"Species 406","Species 167"
"Species 413","Species 167"
"Species 414","Species 167"
"Species 415","Species 167"
"Species 417","Species 167"
"Species 422","Species 167"
"Species 442","Species 167"
"Species 454","Species 167"
"Species 455","Species 167"
"Species 456","Species 167"
"Species 457","Species 167"
"Species 458","Species 167"
"Species 479","Species 167"
"Species 498","Species 167"
"Species 10","Species 168"
"Species 74","Species 168"
"Species 129","Species 168"
"Species 139","Species 168"
"Species 140","Species 168"
"Species 142","Species 168"
"Species 149","Species 168"
"Species 150","Species 168"
"Species 153","Species 168"
"Species 154","Species 168"
"Species 156","Species 168"
"Species 157","Species 168"
"Species 158","Species 168"
"Species 159","Species 168"
"Species 160","Species 168"
"Species 161","Species 168"
"Species 165","Species 168"
"Species 166","Species 168"
"Species 167","Species 168"
"Species 257","Species 168"
"Species 260","Species 168"
"Species 266","Species 168"
"Species 274","Species 168"
"Species 277","Species 168"
"Species 290","Species 168"
"Species 353","Species 168"
"Species 365","Species 168"
"Species 366","Species 168"
"Species 374","Species 168"
"Species 386","Species 168"
"Species 402","Species 168"
"Species 403","Species 168"
"Species 404","Species 168"
"Species 407","Species 168"
"Species 408","Species 168"
"Species 409","Species 168"
"Species 413","Species 168"
"Species 415","Species 168"
"Species 418","Species 168"
"Species 432","Species 168"
"Species 434","Species 168"
"Species 435","Species 168"
"Species 437","Species 168"
"Species 438","Species 168"
"Species 439","Species 168"
"Species 441","Species 168"
"Species 442","Species 168"
"Species 443","Species 168"
"Species 444","Species 168"
"Species 454","Species 168"
"Species 455","Species 168"
"Species 456","Species 168"
"Species 457","Species 168"
"Species 458","Species 168"
"Species 460","Species 168"
"Species 462","Species 168"
"Species 465","Species 168"
"Species 466","Species 168"
"Species 467","Species 168"
"Species 470","Species 168"
"Species 472","Species 168"
"Species 479","Species 168"
"Species 488","Species 168"
"Species 491","Species 168"
"Species 495","Species 168"
"Species 498","Species 168"
"Species 500","Species 168"
"Species 44","Species 171"
"Species 74","Species 171"
"Species 77","Species 171"
"Species 88","Species 171"
"Species 89","Species 171"
"Species 91","Species 171"
"Species 92","Species 171"
"Species 94","Species 171"
"Species 95","Species 171"
"Species 96","Species 171"
"Species 97","Species 171"
"Species 129","Species 171"
"Species 139","Species 171"
"Species 140","Species 171"
"Species 142","Species 171"
"Species 149","Species 171"
"Species 157","Species 171"
"Species 158","Species 171"
"Species 159","Species 171"
"Species 160","Species 171"
"Species 161","Species 171"
"Species 165","Species 171"
"Species 166","Species 171"
"Species 167","Species 171"
"Species 257","Species 171"
"Species 260","Species 171"
"Species 262","Species 171"
"Species 264","Species 171"
"Species 266","Species 171"
"Species 274","Species 171"
"Species 277","Species 171"
"Species 290","Species 171"
"Species 353","Species 171"
"Species 355","Species 171"
"Species 358","Species 171"
"Species 365","Species 171"
"Species 366","Species 171"
"Species 374","Species 171"
"Species 385","Species 171"
"Species 386","Species 171"
"Species 391","Species 171"
"Species 402","Species 171"
"Species 403","Species 171"
"Species 404","Species 171"
"Species 406","Species 171"
"Species 407","Species 171"
"Species 408","Species 171"
"Species 409","Species 171"
"Species 413","Species 171"
"Species 414","Species 171"
"Species 415","Species 171"
"Species 417","Species 171"
"Species 418","Species 171"
"Species 432","Species 171"
"Species 433","Species 171"
"Species 434","Species 171"
"Species 435","Species 171"
"Species 437","Species 171"
"Species 438","Species 171"
"Species 439","Species 171"
"Species 440","Species 171"
"Species 441","Species 171"
"Species 442","Species 171"
"Species 443","Species 171"
"Species 444","Species 171"
"Species 454","Species 171"
"Species 455","Species 171"
"Species 456","Species 171"
"Species 457","Species 171"
"Species 458","Species 171"
