ConsumerNodeID,ResourceNodeID,ConsumerSpeciesID,ResourceSpeciesID,ConsumerStageID,ResourceStageID,ConsumerSpecies.StageID,ResourceSpecies.StageID,LinkTypeID,LinkType,LinkEvidence,LinkEvidenceNotes,LinkFrequency,LinkN,DietFraction,ConsumptionRate,VectorFrom,PreyFrom
29,15,24,15,2,1,24.2,15.1,1,predation,modelled,"Gittleman 1978, Murdoch et al. 1984, Giller 1986, Blaustein 1998, Gilbert and Burns 1999",,,,,,
32,15,26,15,1,1,26.1,15.1,1,predation,modelled,Reilly and McCarthy 1990,,,,,,
33,15,26,15,2,1,26.2,15.1,1,predation,modelled,Reilly and McCarthy 1990,,,,,,
34,15,27,15,1,1,27.1,15.1,1,predation,modelled,"Cullen 1969, Hirai 2007",,,,,,
35,15,27,15,2,1,27.2,15.1,1,predation,modelled,"Cullen 1969, Hirai 2007",,,,,,
36,15,28,15,1,1,28.1,15.1,1,predation,modelled,"Kesler and Munns 1989, Runck and Blinn 1996",,,,,,
37,15,28,15,2,1,28.2,15.1,1,predation,modelled,"Kesler and Munns 1989, Runck and Blinn 2021",,,,,,
48,15,32,15,2,1,32.2,15.1,1,predation,modelled,Van Buskirk 1988,,,,,,
50,15,33,15,2,1,33.2,15.1,1,predation,modelled,,,,,,,
52,15,34,15,2,1,34.2,15.1,1,predation,modelled,,,,,,,
54,15,35,15,2,1,35.2,15.1,1,predation,modelled,"Folsom and Collins 1984, Van Buskirk 1988, Turner and Chislock 2007",,,,,,
55,15,36,15,1,1,36.1,15.1,1,predation,modelled,Petranka 1998,,,,,,
56,15,36,15,2,1,36.2,15.1,1,predation,observed,,,,,,,
57,15,37,15,1,1,37.1,15.1,1,predation,modelled,"Campbell 1970, Miller 1978, Lannoo 2005",,,,,,
61,15,39,15,1,1,39.1,15.1,1,predation,modelled,"Hayes and Tennant 1985, Lannoo 2005",,,,,,
67,15,44,15,1,1,44.1,15.1,1,predation,modelled,Terres 1995,,,,,,
112,15,63,15,2,1,63.2,15.1,12,trophically transmitted parasitism,observed,,,,,,,
113,15,63,15,3,1,63.3,15.1,12,trophically transmitted parasitism,observed,,,,,,,
12,16,12,16,1,1,12.1,16.1,1,predation,modelled,"Tomann and Dall 1977, Davies et al. 1981, Davies and Linton 1982, Kutschsera 2003, Kreuter et al. 2008",,,,,,
16,16,16,16,1,1,16.1,16.1,1,predation,modelled,Fryer 1957,,,,,,
24,16,22,16,1,1,22.1,16.1,1,predation,modelled,Hallmark 1972,,,,,,
25,16,22,16,2,1,22.2,16.1,1,predation,modelled,Hallmark 1972,,,,,,
27,16,23,16,2,1,23.2,16.1,1,predation,modelled,Plague 1996,,,,,,
28,16,24,16,1,1,24.1,16.1,1,predation,modelled,"Gittleman 1978, Murdoch et al. 1984, Giller 1986, Blaustein 1998, Gilbert and Burns 1999",,,,,,
29,16,24,16,2,1,24.2,16.1,1,predation,modelled,"Gittleman 1978, Murdoch et al. 1984, Giller 1986, Blaustein 1998, Gilbert and Burns 1999",,,,,,
32,16,26,16,1,1,26.1,16.1,1,predation,modelled,Reilly and McCarthy 1990,,,,,,
33,16,26,16,2,1,26.2,16.1,1,predation,modelled,Reilly and McCarthy 1990,,,,,,
48,16,32,16,2,1,32.2,16.1,1,predation,modelled,Van Buskirk 1988,,,,,,
50,16,33,16,2,1,33.2,16.1,1,predation,modelled,,,,,,,
52,16,34,16,2,1,34.2,16.1,1,predation,modelled,,,,,,,
54,16,35,16,2,1,35.2,16.1,1,predation,modelled,"Folsom and Collins 1984, Van Buskirk 1988, Turner and Chislock 2007",,,,,,
55,16,36,16,1,1,36.1,16.1,1,predation,modelled,Petranka 1998,,,,,,
56,16,36,16,2,1,36.2,16.1,1,predation,modelled,Petranka 1998,,,,,,
67,16,44,16,1,1,44.1,16.1,1,predation,modelled,Terres 1995,,,,,,
102,16,60,16,4,1,60.4,16.1,12,trophically transmitted parasitism,observed,,,,,,,
12,17,12,17,1,1,12.1,17.1,1,predation,modelled,"Tomann and Dall 1977, Davies et al. 1981, Davies and Linton 1982, Kutschsera 2003, Kreuter et al. 2008",,,,,,
16,17,16,17,1,1,16.1,17.1,1,predation,modelled,Fryer 1957,,,,,,
24,17,22,17,1,1,22.1,17.1,1,predation,modelled,Hallmark 1972,,,,,,
25,17,22,17,2,1,22.2,17.1,1,predation,modelled,Hallmark 1972,,,,,,
27,17,23,17,2,1,23.2,17.1,1,predation,modelled,Plague 1996,,,,,,
28,17,24,17,1,1,24.1,17.1,1,predation,modelled,"Gittleman 1978, Murdoch et al. 1984, Giller 1986, Blaustein 1998, Gilbert and Burns 1999",,,,,,
29,17,24,17,2,1,24.2,17.1,1,predation,modelled,"Gittleman 1978, Murdoch et al. 1984, Giller 1986, Blaustein 1998, Gilbert and Burns 1999",,,,,,
32,17,26,17,1,1,26.1,17.1,1,predation,modelled,Reilly and McCarthy 1990,,,,,,
33,17,26,17,2,1,26.2,17.1,1,predation,modelled,Reilly and McCarthy 1990,,,,,,
48,17,32,17,2,1,32.2,17.1,1,predation,modelled,Van Buskirk 1988,,,,,,
50,17,33,17,2,1,33.2,17.1,1,predation,modelled,,,,,,,
52,17,34,17,2,1,34.2,17.1,1,predation,modelled,,,,,,,
54,17,35,17,2,1,35.2,17.1,1,predation,modelled,"Folsom and Collins 1984, Van Buskirk 1988, Turner and Chislock 2007",,,,,,
