"resource","consumer"
"Species 3","Species 159"
"Species 6","Species 159"
"Species 10","Species 159"
"Species 22","Species 159"
"Species 23","Species 159"
"Species 26","Species 159"
"Species 27","Species 159"
"Species 28","Species 159"
"Species 29","Species 159"
"Species 30","Species 159"
"Species 31","Species 159"
"Species 32","Species 159"
"Species 33","Species 159"
"Species 35","Species 159"
"Species 45","Species 159"
"Species 46","Species 159"
"Species 72","Species 159"
"Species 77","Species 159"
"Species 79","Species 159"
"Species 82","Species 159"
"Species 83","Species 159"
"Species 84","Species 159"
"Species 85","Species 159"
"Species 86","Species 159"
"Species 87","Species 159"
"Species 88","Species 159"
"Species 92","Species 159"
"Species 93","Species 159"
"Species 95","Species 159"
"Species 97","Species 159"
"Species 98","Species 159"
"Species 115","Species 159"
"Species 118","Species 159"
"Species 120","Species 159"
"Species 124","Species 159"
"Species 125","Species 159"
"Species 154","Species 159"
"Species 156","Species 159"
"Species 261","Species 159"
"Species 276","Species 159"
"Species 334","Species 159"
"Species 337","Species 159"
"Species 402","Species 159"
"Species 403","Species 159"
"Species 404","Species 159"
"Species 406","Species 159"
"Species 414","Species 159"
"Species 417","Species 159"
"Species 427","Species 159"
"Species 428","Species 159"
"Species 431","Species 159"
"Species 433","Species 159"
"Species 440","Species 159"
"Species 461","Species 159"
"Species 463","Species 159"
"Species 464","Species 159"
"Species 475","Species 159"
"Species 476","Species 159"
"Species 490","Species 159"
"Species 1","Species 160"
"Species 2","Species 160"
"Species 3","Species 160"
"Species 6","Species 160"
"Species 10","Species 160"
"Species 14","Species 160"
"Species 16","Species 160"
"Species 22","Species 160"
"Species 23","Species 160"
"Species 26","Species 160"
"Species 27","Species 160"
"Species 28","Species 160"
"Species 29","Species 160"
"Species 30","Species 160"
"Species 31","Species 160"
"Species 32","Species 160"
"Species 33","Species 160"
"Species 35","Species 160"
"Species 45","Species 160"
"Species 46","Species 160"
"Species 72","Species 160"
"Species 74","Species 160"
"Species 77","Species 160"
"Species 79","Species 160"
"Species 82","Species 160"
"Species 83","Species 160"
"Species 84","Species 160"
"Species 85","Species 160"
"Species 86","Species 160"
"Species 87","Species 160"
"Species 88","Species 160"
"Species 92","Species 160"
"Species 93","Species 160"
"Species 95","Species 160"
"Species 97","Species 160"
"Species 98","Species 160"
"Species 115","Species 160"
"Species 118","Species 160"
"Species 119","Species 160"
"Species 120","Species 160"
"Species 121","Species 160"
"Species 122","Species 160"
"Species 123","Species 160"
"Species 124","Species 160"
"Species 125","Species 160"
"Species 135","Species 160"
"Species 154","Species 160"
"Species 156","Species 160"
"Species 159","Species 160"
"Species 161","Species 160"
"Species 260","Species 160"
"Species 261","Species 160"
"Species 267","Species 160"
"Species 268","Species 160"
"Species 269","Species 160"
"Species 270","Species 160"
"Species 272","Species 160"
"Species 276","Species 160"
"Species 327","Species 160"
"Species 329","Species 160"
"Species 330","Species 160"
"Species 331","Species 160"
"Species 332","Species 160"
"Species 333","Species 160"
"Species 334","Species 160"
"Species 335","Species 160"
"Species 336","Species 160"
"Species 337","Species 160"
"Species 338","Species 160"
"Species 341","Species 160"
"Species 342","Species 160"
"Species 343","Species 160"
"Species 344","Species 160"
"Species 345","Species 160"
"Species 346","Species 160"
"Species 347","Species 160"
"Species 348","Species 160"
"Species 349","Species 160"
"Species 350","Species 160"
"Species 351","Species 160"
"Species 352","Species 160"
"Species 401","Species 160"
"Species 402","Species 160"
"Species 403","Species 160"
"Species 404","Species 160"
"Species 406","Species 160"
"Species 407","Species 160"
"Species 412","Species 160"
"Species 414","Species 160"
"Species 417","Species 160"
"Species 419","Species 160"
"Species 420","Species 160"
"Species 426","Species 160"
"Species 427","Species 160"
"Species 428","Species 160"
"Species 431","Species 160"
"Species 433","Species 160"
"Species 435","Species 160"
"Species 440","Species 160"
"Species 442","Species 160"
"Species 461","Species 160"
"Species 463","Species 160"
"Species 464","Species 160"
"Species 467","Species 160"
"Species 474","Species 160"
"Species 475","Species 160"
"Species 476","Species 160"
"Species 487","Species 160"
"Species 490","Species 160"
"Species 500","Species 160"
